epoch,loss,mae,val_loss,val_mae
0,115305.078125,220.40243530273438,3898.14697265625,44.55224609375
1,2525.1533203125,36.12831497192383,1883.8499755859375,31.754003524780273
2,1753.1195068359375,30.639007568359375,1686.7027587890625,30.128313064575195
3,1604.8681640625,29.4029483795166,1601.6285400390625,29.23984718322754
4,1573.7508544921875,29.156553268432617,1557.171875,29.084890365600586
5,1523.2369384765625,28.7059326171875,1541.334716796875,28.777748107910156
6,1494.0858154296875,28.425691604614258,1456.0736083984375,28.02874183654785
7,1470.91943359375,28.11513328552246,1439.0347900390625,27.648983001708984
8,1440.138916015625,27.66752815246582,1403.12109375,27.291452407836914
9,1321.311279296875,26.358081817626953,1285.8260498046875,25.61233139038086
10,1216.26708984375,25.283687591552734,1271.4542236328125,25.90207862854004
11,1121.5657958984375,24.48466682434082,1015.254638671875,23.20088768005371
12,880.613037109375,21.964527130126953,868.8989868164062,21.686674118041992
13,846.8366088867188,21.57147979736328,830.4811401367188,21.297372817993164
14,845.5075073242188,21.594934463500977,814.6204833984375,20.996519088745117
15,847.5167236328125,21.663684844970703,769.8505859375,20.506938934326172
16,755.5291748046875,20.37848472595215,747.939453125,19.983856201171875
17,911.8013305664062,22.386445999145508,827.0518188476562,21.385149002075195
18,796.2637329101562,20.94173812866211,998.8892822265625,23.321144104003906
19,783.9038696289062,20.72939682006836,752.9118041992188,20.109739303588867
20,775.89697265625,20.69164276123047,772.3460083007812,20.455808639526367
21,813.2821655273438,21.162120819091797,820.4759521484375,21.272655487060547
22,749.7322998046875,20.29367446899414,784.5715942382812,20.55722427368164
23,865.7240600585938,21.844730377197266,3116.83837890625,44.108760833740234
24,1022.1349487304688,23.757858276367188,730.3550415039062,19.902706146240234
25,820.1344604492188,21.192975997924805,995.2059936523438,23.80184555053711
26,845.3667602539062,21.5469970703125,737.9701538085938,19.91912841796875
27,725.8126831054688,19.969762802124023,775.7508544921875,20.74590492248535
28,753.94140625,20.388107299804688,806.8564453125,21.06448745727539
29,771.2544555664062,20.67658233642578,731.0,19.794424057006836
30,736.1675415039062,20.19195556640625,724.0281982421875,20.091678619384766
31,705.6492919921875,19.668088912963867,746.4430541992188,20.159387588500977
32,774.4413452148438,20.616308212280273,736.6914672851562,20.060108184814453
33,783.5908203125,20.76175880432129,753.1883544921875,20.287452697753906
34,766.5191040039062,20.614870071411133,749.5454711914062,20.11463165283203
35,792.9285888671875,21.03087043762207,999.4859008789062,24.1328067779541
36,846.0690307617188,21.60407066345215,749.4031982421875,20.334157943725586
37,801.0640258789062,21.03716278076172,859.7279052734375,21.722488403320312
38,907.3184814453125,22.467931747436523,743.8328247070312,20.13368797302246
39,829.9014282226562,21.47417640686035,1074.20751953125,25.185977935791016
40,883.0166625976562,22.119476318359375,964.7731323242188,23.15570068359375
